순위,이름,팀,WAAwithADJ,출장,선발,이닝,기회,자살,보살,실책,수비율,RF9,RNG,ARM,CS,BLK,E+,RAA,/133,POSADJ,RAAwithADJ,WAAw/oADJ
402,박신지,22두P, -0.049 , 29 ,9.0,61.2, 15 , 4 ,9.0,2.0, .867 , 1.90 ,-0.26,0.0, 0.00 , 0.03 ,-0.25,-0.47, -9.14 , 0.00 ,-0.47,-0.049
403,김대유,22LP, -0.049 , 59 ,0.0,39.2, 3 , 3 ,0.0,0.0, 1.000 , 0.68 ,-0.47,0.0, -0.12 , 0.02 ,0.1,-0.48, -14.36 , 0.00 ,-0.48,-0.049
404,이주형,22키1B, -0.049 , 12 ,11.0,76.0, 67 , 65 ,2.0,0.0, 1.000 , 7.93 ,0.0,-0.0, 0.00 , 0.00 ,0.14,0.15, 2.34 , -0.62 ,-0.47,0.016
405,이형범,22두P, -0.049 , 31 ,0.0,31.0, 6 , 2 ,3.0,1.0, .833 , 1.45 ,-0.37,0.0, 0.00 , 0.02 ,-0.12,-0.48, -18.49 , 0.00 ,-0.48,-0.049
406,이재현,22삼SS, -0.050 , 75 ,65.0,566.1, 240 , 75 ,154.0,11.0, .954 , 3.64 ,-2.51,0.0, 0.00 , 0.00 ,-0.15,-2.65, -5.61 , 2.18 ,-0.48,-0.277
407,노바,22SP, -0.050 , 12 ,12.0,63.2, 9 , 6 ,2.0,1.0, .889 , 1.13 ,-0.47,0.0, 0.00 , 0.03 ,-0.04,-0.48, -9.08 , 0.00 ,-0.48,-0.05
408,이준영,22KP, -0.051 , 75 ,0.0,46.1, 18 , 2 ,13.0,3.0, .833 , 2.91 ,0.33,0.0, -0.36 , 0.02 ,-0.48,-0.49, -12.66 , 0.00 ,-0.49,-0.051
409,박준표,22KP, -0.051 , 34 ,0.0,23.1, 4 , 1 ,2.0,1.0, .750 , 1.16 ,-0.24,0.0, -0.12 , 0.01 ,-0.14,-0.49, -25.21 , 0.00 ,-0.49,-0.051
410,김택형,22SP, -0.052 , 64 ,0.0,60.1, 10 , 3 ,6.0,1.0, .900 , 1.34 ,-0.48,0.0, 0.00 , 0.03 ,-0.05,-0.5, -10.01 , 0.00 ,-0.5,-0.052
411,루친스키,22NP, -0.053 , 31 ,31.0,193.2, 36 , 14 ,18.0,4.0, .889 , 1.49 ,-0.29,0.0, 0.00 , 0.10 ,-0.32,-0.51, -3.17 , 0.00 ,-0.51,-0.053
