팀,이름,WAR,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
LG,유강남,7.41,406,1388,1242,144,318,50,0,35,473,181,3,1,91,38,3,257,38,11,0.768,0.9730000000000001,1.141,2.115,0.974,289.9,7.41,0.24000000000000005
LG,이상호,0.05,105,148,137,14,38,4,0,0,42,17,3,3,5,1,0,16,3,5,0.558,0.617,0.6160000000000001,1.234,0.5700000000000001,134.9,0.05,-0.22999999999999998
LG,이성우,-0.23,108,127,110,7,25,1,0,3,35,13,0,0,7,0,0,22,4,10,0.446,0.524,0.576,1.1,0.473,64.30000000000001,-0.23,-0.5700000000000001
LG,이영빈,0.19,132,252,224,37,50,12,0,3,71,21,6,3,22,3,0,76,4,2,0.427,0.5760000000000001,0.608,1.1840000000000002,0.563,134.6,0.19,-0.51
LG,이재원,1.44,147,424,377,53,88,14,2,18,160,60,8,2,32,14,2,125,5,0,0.471,0.632,0.8360000000000001,1.468,0.673,218.4,1.44,0.010000000000000009
LG,이천웅,0.61,157,570,493,64,116,18,2,5,153,52,11,7,60,7,0,67,18,3,0.455,0.638,0.6040000000000001,1.2429999999999999,0.597,146.9,0.61,-1.69
LG,이형종,3.69,197,667,579,76,151,31,2,27,267,91,4,1,66,15,2,136,17,2,0.778,1.0230000000000001,1.2570000000000001,2.2800000000000002,1.0350000000000001,332.0,3.69,-2.2600000000000002
LG,장준원,0.0,46,68,60,10,13,3,0,1,19,6,0,0,6,0,0,7,2,1,0.217,0.284,0.317,0.6,0.275,58.5,0.0,-0.04
LG,정근우,-0.1,72,177,154,23,37,4,0,1,44,14,7,2,17,2,1,23,4,3,0.24,0.322,0.286,0.608,0.287,64.4,-0.1,0.1
LG,정주현,0.47,207,585,509,76,124,17,5,7,172,40,11,10,53,3,0,95,10,18,0.485,0.639,0.675,1.315,0.603,150.8,0.47,-1.29
LG,채은성,7.83,345,1438,1270,166,367,63,4,43,567,253,10,12,97,46,6,237,37,0,0.865,1.064,1.341,2.4050000000000002,1.093,372.4,7.83,2.2399999999999998
LG,허도환,0.29,64,92,85,7,21,5,0,1,29,6,0,0,2,2,0,26,2,3,0.247,0.281,0.341,0.622,0.28,71.2,0.29,-0.49
LG,홍창기,14.06,397,1683,1369,266,411,74,12,10,539,142,47,17,252,44,5,257,25,8,0.893,1.2570000000000001,1.18,2.437,1.154,401.3,14.06,8.55
NC,강진성,2.0,245,894,801,102,223,45,0,19,325,108,18,4,56,23,2,114,23,6,0.558,0.681,0.813,1.494,0.685,198.9,2.0,-0.54
NC,권희동,3.79,260,877,717,122,178,24,1,25,279,98,7,1,118,24,2,140,13,9,0.746,1.116,1.191,2.307,1.067,333.4,3.79,2.7
