순위,이름,팀,WAR,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
170,유로결,23한RF, -0.10 , 6 , 14 , 13 , 2 , 3 , 0 , 0 , 0 , 3 , 1 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 1 , 0 , .231 , .231 , .231 , .462 , .208 , 16.9 , -0.10 , 0.10 
171,이병헌,23삼C, -0.11 , 5 , 9 , 9 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 5 , 0 , 0 , 0 , .111 , .111 , .111 , .222 , .108 , -51.0 , -0.11 , -0.24 
172,이병규,23키DH, -0.11 , 3 , 5 , 5 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , .000 , .000 , .000 , .000 , .000 , -124.3 , -0.11 , -0.13 
173,신윤후,23롯LF, -0.12 , 12 , 6 , 6 , 2 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , .000 , .000 , .000 , .000 , .000 , -124.3 , -0.12 , -0.04 
174,공민규,23삼3B, -0.12 , 9 , 17 , 16 , 0 , 3 , 1 , 0 , 0 , 4 , 2 , 0 , 0 , 1 , 0 , 0 , 7 , 0 , 0 , 0 , .188 , .235 , .250 , .485 , .238 , 37.1 , -0.12 , -0.08 
175,김태훈,23삼LF, -0.12 , 3 , 5 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , .000 , .000 , .000 , .000 , .000 , -124.3 , -0.12 , -0.04 
176,한동희,23롯3B, -0.14 , 20 , 80 , 71 , 6 , 12 , 1 , 0 , 2 , 19 , 10 , 0 , 0 , 7 , 1 , 0 , 13 , 3 , 0 , 1 , .169 , .250 , .268 , .518 , .254 , 47.1 , -0.14 , -0.29 
177,신성현,23두1B, -0.14 , 12 , 15 , 12 , 1 , 1 , 0 , 0 , 0 , 1 , 1 , 0 , 1 , 3 , 0 , 0 , 4 , 0 , 0 , 0 , .083 , .267 , .083 , .350 , .212 , 18.1 , -0.14 , -0.20 
178,이유찬,23두SS, -0.14 , 21 , 57 , 48 , 5 , 9 , 1 , 0 , 0 , 10 , 2 , 2 , 2 , 4 , 2 , 0 , 10 , 0 , 2 , 1 , .188 , .273 , .208 , .481 , .239 , 37.3 , -0.14 , -0.34 
179,박상언,23한C, -0.15 , 10 , 31 , 28 , 3 , 4 , 1 , 0 , 1 , 8 , 4 , 0 , 0 , 1 , 0 , 0 , 8 , 0 , 1 , 1 , .143 , .167 , .286 , .452 , .200 , 9.6 , -0.15 , -0.21 
