팀,이름,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,WPA
키움,김상수,0.18,60,0,0,0,3,3,5,11,51.1,33,27,226,52,12,0,3,21,1,3,48,0,1,-0.11
키움,김선기,-0.08000000000000002,72,0,0,9,6,3,1,7,106.30000000000001,70,61,483,109,24,0,7,49,1,13,66,1,9,-1.21
키움,김성민,0.87,72,0,0,0,3,3,1,11,69.4,40,34,330,71,13,0,7,47,4,9,57,0,2,-0.72
키움,김성진,-1.29,68,0,0,0,1,5,0,4,61.400000000000006,55,43,290,71,16,0,7,33,2,3,45,0,3,-1.26
키움,김인범,0.22,3,0,0,0,0,0,0,0,5.1,0,0,20,3,1,0,0,1,0,0,5,0,0,0.03
키움,김재웅,5.08,159,0,0,7,4,7,14,40,174.5,74,66,755,152,28,1,16,85,6,7,154,0,10,2.7699999999999996
키움,김정인,-0.5900000000000001,13,0,0,6,1,2,0,0,32.2,32,31,163,40,9,1,6,21,0,2,22,0,2,-0.8600000000000001
키움,김정후,-0.11,4,0,0,0,0,0,0,0,3.0,4,4,20,7,0,0,1,4,0,0,3,0,0,-0.19
키움,김준형,0.87,26,0,0,0,0,1,0,0,27.2,9,8,128,24,2,0,2,20,0,5,14,0,4,-0.15
키움,김태훈,3.76,162,0,0,2,14,4,20,35,171.1,78,68,751,170,31,1,5,75,5,8,126,1,8,1.2
키움,노운현,-0.34,5,0,0,0,0,1,0,0,4.0,7,5,28,10,1,0,0,3,0,1,3,0,1,-0.41
키움,문성현,1.55,59,0,0,2,1,2,13,9,59.2,25,24,249,50,8,0,4,31,0,1,48,0,3,0.54
키움,박관진,-0.5,3,0,0,0,0,1,0,0,0.30000000000000004,10,7,15,6,1,0,0,4,0,1,1,0,0,-0.41
키움,박승주,-0.09999999999999998,35,0,0,0,1,1,0,0,32.3,22,22,159,33,6,1,3,29,0,3,26,0,2,0.04000000000000001
키움,박주성,0.09,27,0,0,0,1,2,0,0,33.1,21,19,161,37,6,0,5,19,1,5,21,0,1,-0.87
